DataType=double
version=3
OpenSimVersion=4.2
endheader
time,L.Acceleration_x,L.Acceleration_y,L.Acceleration_z,L.AngularRate_x,L.AngularRate_y,L.AngularRate_z,L.CoP_x,L.CoP_y,L.Pressure_1,L.Pressure_2,L.Pressure_3,L.Pressure_4,L.Pressure_5,L.Pressure_6,L.Pressure_7,L.Pressure_8,L.Pressure_9,L.Pressure_10,L.Pressure_11,L.Pressure_12,L.Pressure_13,L.Pressure_14,L.Pressure_15,L.Pressure_16,L.TotalForce,R.Acceleration_x,R.Acceleration_y,R.Acceleration_z,R.AngularRate_x,R.AngularRate_y,R.AngularRate_z,R.CoP_x,R.CoP_y,R.Pressure_1,R.Pressure_2,R.Pressure_3,R.Pressure_4,R.Pressure_5,R.Pressure_6,R.Pressure_7,R.Pressure_8,R.Pressure_9,R.Pressure_10,R.Pressure_11,R.Pressure_12,R.Pressure_13,R.Pressure_14,R.Pressure_15,R.Pressure_16,R.TotalForce
-4.895554542541504,-0.18,0.05,0.99,4.69,3.15,0.84,-0.014916,-0.01513,6,7.25,3.25,7.25,2,8.5,1,7.5,1.5,1.25,3,4.5,6,3,2,2.25,651,0.08,-0.22,1.14,-79.59,24.22,198.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.86355447769165,-0.18,0.05,0.99,4.69,3.15,0.84,-0.014916,-0.01513,6,7.25,3.25,7.25,2,8.5,1,7.5,1.5,1.25,3,4.5,6,3,2,2.25,651,0.08,-0.22,1.14,-79.59,24.22,198.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.832554340362549,-0.18,0.05,1.01,6.3,2.31,0.35,-0.019888,-0.01602,6,8,3.25,7.75,1.75,9,0.5,7.5,1,1.25,2.5,4,5.5,3,1.5,1.75,630,0.2,0.1,1.19,-66.84999999999999,-53.62,257.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.810554504394531,-0.18,0.06,0.99,8.4,2.31,0.49,-0.02486,-0.01602,6.5,8.75,3,8.25,1.75,8.75,0.5,7.25,0.75,1,2,3.5,5.5,2.75,1.25,1.5,617,-0.27,0.26,0.92,-61.04,-66.56999999999999,277.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.786554336547852,-0.18,0.07000000000000001,0.99,13.3,1.68,0.63,-0.032318,-0.01602,7.25,9.75,2.5,8.75,1.5,8.5,0.25,7,0.5,0.75,1.5,3,5,2.25,1,1,593,-0.48,0.35,0.84,-56.42,-52.71,297.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.763554334640503,-0.18,0.07000000000000001,0.99,13.3,1.68,0.63,-0.032318,-0.01602,7.25,9.75,2.5,8.75,1.5,8.5,0.25,7,0.5,0.75,1.5,3,5,2.25,1,1,593,-0.65,0.3,0.52,-14.98,-8.050000000000001,284.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.740554332733154,-0.17,0.09,0.97,12.32,0.91,-0.84,-0.039776,-0.01602,7.75,10,2.5,8.5,1,8,0.25,6.5,0.25,0.5,1,2.25,4.5,1.75,0.75,0.75,551,-0.65,0.3,0.52,-14.98,-8.050000000000001,284.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.70855450630188,-0.17,0.07000000000000001,1.01,11.06,0.5600000000000001,-1.33,-0.039776,-0.01691,8,10,2.5,8.5,1,8,0,6.5,0,0.5,1,2.25,4.25,1.75,0.75,0.75,545,-0.5600000000000001,-0.63,1.17,48.37,-29.89,147.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-4.681554555892944,-0.17,0.1,1.01,18.83,-4.13,-3.08,-0.042262,-0.01602,7,8.5,1.75,7.25,0.75,6.75,0,5.5,0,0.75,0.75,1.75,3.25,1.5,0.5,0.5,456,-0.15,0.25,0.95,14.42,-21.07,17.99,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0.75,0,0,11
-4.646554470062256,-0.16,0.07000000000000001,1.04,18.48,-5.88,-4.97,-0.044748,-0.01691,6,7,1.25,5.75,0.5,5.5,0,4.5,0,0.5,0.75,1.25,2.25,0.75,0.25,0.5,361,-0.19,0.03,1,-10.99,-8.82,1.19,-0.064636,-0,9,6.5,2.25,1.5,0.75,0.75,0.5,0,0,0,0,0.75,0.25,2.5,0,0,229
-4.615554332733154,-0.38,-0.6,1.23,50.96,-23.66,-109.55,-0.047234,-0.01424,3,3.25,1.25,3,0.25,2.25,0,1.75,0,0,0.5,0.75,0.75,0.5,0.25,0.25,173,-0.18,0.01,0.99,-4.55,-6.44,2.66,-0.05966399999999999,0,13.25,11.75,5.25,3.25,2.5,1,1,0.5,0.75,0,0,0.25,0.25,4.25,0.25,0,415
-4.591554403305054,-1.08,-0.28,0.88,104.23,-42.35,-276.57,-0.052206,-0.01424,2,2,1,2.25,0.25,1.25,0,1,0,0,0.25,0.5,0.5,0,0.25,0,111,-0.18,0.02,1,-1.68,-5.39,3.22,-0.05966399999999999,-0.0008899999999999999,13.75,13,5.75,5.25,2.5,1.25,1,0.25,1,0,0.25,0.25,0.25,4.25,0.5,0,463
-4.560554504394531,-1.44,0.33,0.5600000000000001,54.88,-68.53,-391.65,-0.05966399999999999,-0.0089,1,1,0.75,1,0,0.75,0,0.25,0,0,0.25,0,0,0.25,0,0,51,-0.18,0.02,0.99,-1.89,-4.27,2.8,-0.05966399999999999,-0.00178,13,12.75,5.5,5.25,3,1.5,1,0.5,1,0.25,0.25,0.5,0.5,3.75,0.5,0,465
-4.536554336547852,-1.34,0.4,0.7,-30.31,-48.93,-398.09,0,0,0.5,0.5,0.75,0.75,0,0.75,0,0,0,0,0,0.25,0,0,0,0,34,-0.18,0.02,0.99,-2.66,-3.43,2.87,-0.054692,-0.0008899999999999999,11.5,11.5,5.25,4.75,2.5,1.25,1,0.5,1.5,0.25,0.25,0.75,0,3.75,0.5,0.25,431
-4.511554479598999,-1.15,0.67,0.83,-36.12,-39.41,-400.05,0,0,0.25,0,0.5,0.5,0,0.5,0,0,0,0,0,0.25,0,0,0,0,20,-0.18,0.02,0.99,-3.22,-3.5,2.87,-0.052206,-0.00178,11,11,4.75,5.25,2.75,1.5,1,0.75,1.75,0.5,0.5,0.5,0.25,3.25,0.25,0.25,431
-4.48855447769165,-0.77,0.8,0.84,-0.28,-9.24,-361.48,0,0,0.5,0.25,0.5,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,19,-0.18,0.02,0.99,-3.22,-3.5,2.87,-0.052206,-0.00178,11,11,4.75,5.25,2.75,1.5,1,0.75,1.75,0.5,0.5,0.5,0.25,3.25,0.25,0.25,431
-4.465554475784302,-0.77,0.8,0.84,-0.28,-9.24,-361.48,0,0,0.5,0.25,0.5,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,19,-0.19,0.02,0.99,-3.43,-4.13,2.66,-0.047234,-0.00178,10.25,11.75,5.5,6,2.5,1.5,1.25,0.75,2,0.5,0.5,0.5,1,4,0.5,0.5,465
-4.44055438041687,-0.4,0.47,1.02,37.73,27.79,-258.72,0,0,0,0.25,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,5,-0.19,0.02,0.99,-3.43,-4.13,2.66,-0.047234,-0.00178,10.25,11.75,5.5,6,2.5,1.5,1.25,0.75,2,0.5,0.5,0.5,1,4,0.5,0.5,465
-4.4105544090271,-0.31,0.42,0.97,16.59,23.38,-230.51,0,0,0,0.5,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,12,-0.18,0.02,0.99,-3.15,-3.78,2.87,-0.047234,-0.00178,10.25,11.75,5.25,5.5,2.25,1.75,1.25,0.75,2.25,0.75,0.75,0.5,0.75,4,0.5,0.5,463
-4.376554489135742,-0.16,0.37,1.14,21.42,22.96,-194.74,0,0,0.25,0.5,0.5,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,19,-0.18,0.02,0.99,-3.71,-3.5,2.8,-0.047234,-0.0008899999999999999,10.25,11.5,5.5,5.5,2.75,1.25,1.5,0.75,2.5,0.75,0.5,0.25,0.5,3.75,0.5,0.5,461
