DataType=double
version=3
OpenSimVersion=4.2
endheader
time,chest_x,chest_y,chest_z,humerus_x,humerus_y,humerus_z,radius_x,radius_y,radius_z
1603806796272,10.52724,1.278954,5.288048,10.34816,1.510569,4.973113,10.59315,1.552354,4.884016
1603806796284,10.52725,1.278839,5.287893,10.34808,1.510521,4.973122,10.59294,1.552205,4.884149
1603806796292,10.52719,1.278797,5.287893,10.34802,1.510421,4.973151,10.59286,1.552066,4.88414
1603806796303,10.52746,1.278914,5.287737,10.34795,1.510383,4.973195,10.59268,1.551911,4.884129
1603806796315,10.52743,1.278886,5.287742,10.34787,1.510342,4.973231,10.5926,1.551841,4.884226
1603806796325,10.52732,1.278973,5.287786,10.34783,1.51036,4.973268,10.59258,1.551664,4.88421
1603806796337,10.52734,1.279096,5.287768,10.34774,1.510425,4.973276,10.59245,1.55154,4.884223
1603806796348,10.52729,1.279141,5.287791,10.34767,1.51046,4.973295,10.59238,1.551466,4.88424
1603806796358,10.52719,1.2791,5.287663,10.34766,1.510495,4.973346,10.59229,1.551492,4.884319
1603806796370,10.52712,1.279106,5.287678,10.34759,1.51053,4.973347,10.59222,1.551454,4.884358
1603806796381,10.52712,1.279076,5.287641,10.34754,1.510595,4.973337,10.59209,1.551472,4.884589
1603806796392,10.52706,1.279058,5.287641,10.34747,1.510631,4.973367,10.59202,1.551482,4.884637
1603806796403,10.52727,1.279158,5.287437,10.34742,1.510704,4.973381,10.59207,1.551632,4.884601
1603806796414,10.52721,1.279154,5.287409,10.34741,1.510684,4.973352,10.59201,1.55168,4.884637
1603806796425,10.52697,1.279068,5.287608,10.34737,1.510685,4.973348,10.59196,1.551781,4.884585
1603806796437,10.52681,1.279047,5.287695,10.34733,1.510706,4.973357,10.59203,1.551816,4.884537
1603806796449,10.52676,1.279049,5.287696,10.3473,1.510704,4.973343,10.592,1.551898,4.884567
1603806796460,10.52674,1.278989,5.287681,10.3473,1.510656,4.973402,10.59192,1.551996,4.884651
1603806796471,10.52668,1.278995,5.287673,10.34725,1.510645,4.973419,10.59188,1.552076,4.884697
1603806796482,10.52677,1.279077,5.287642,10.34715,1.510668,4.973448,10.59183,1.552147,4.884788
1603806796493,10.52674,1.279099,5.287632,10.3471,1.510686,4.973457,10.59178,1.552232,4.884845
1603806796504,10.52648,1.279043,5.287757,10.34712,1.510733,4.973483,10.59179,1.552297,4.884878
1603806796515,10.52624,1.278948,5.287894,10.34706,1.51072,4.973495,10.59185,1.552365,4.884857
1603806796526,10.52618,1.278956,5.287891,10.34702,1.510746,4.973502,10.59179,1.552399,4.88493
1603806796538,10.52627,1.279034,5.287785,10.34694,1.510778,4.973532,10.5917,1.55251,4.884899
1603806796549,10.52622,1.279028,5.287789,10.34685,1.510783,4.973554,10.59166,1.552548,4.884931
1603806796560,10.52629,1.279088,5.287661,10.34682,1.51086,4.97348,10.5917,1.552666,4.88491
1603806796571,10.5262,1.279097,5.287639,10.34675,1.510861,4.973479,10.59167,1.55271,4.884923
1603806796583,10.52615,1.279156,5.287464,10.34668,1.510865,4.973527,10.59158,1.552689,4.88507
1603806796594,10.52608,1.279178,5.287421,10.34661,1.510858,4.973545,10.59154,1.552717,4.885087
1603806796605,10.52625,1.279306,5.287204,10.34652,1.510858,4.973562,10.59149,1.552613,4.885127
1603806796617,10.52622,1.279311,5.287242,10.3465,1.510899,4.973605,10.59151,1.552579,4.885142
1603806796628,10.52619,1.279313,5.287213,10.3464,1.510906,4.973612,10.59144,1.552571,4.885175
1603806796639,10.5259,1.279215,5.28748,10.34627,1.5109,4.973607,10.59136,1.552539,4.885275
1603806796651,10.52587,1.279234,5.28747,10.34614,1.510898,4.973615,10.59127,1.552526,4.885303
1603806796662,10.52559,1.279181,5.287679,10.34602,1.510882,4.973604,10.59114,1.552516,4.885299
1603806796674,10.52558,1.27921,5.287632,10.3459,1.510877,4.97361,10.59103,1.552517,4.885297
1603806796685,10.52532,1.279217,5.287648,10.3458,1.510985,4.973581,10.59096,1.552507,4.885139
1603806796696,10.52499,1.279094,5.287817,10.34561,1.510978,4.973548,10.59085,1.552513,4.885122
1603806796707,10.52491,1.279125,5.287806,10.34547,1.511001,4.973541,10.59061,1.552523,4.885168
1603806796718,10.52456,1.279011,5.287994,10.34534,1.51102,4.973526,10.59054,1.552541,4.885076
1603806796730,10.52444,1.278981,5.287987,10.34516,1.510983,4.97354,10.59042,1.552564,4.885002
1603806796741,10.52433,1.27886,5.288099,10.34506,1.510989,4.973529,10.59023,1.55264,4.884953
1603806796752,10.52424,1.27882,5.288066,10.3449,1.511001,4.97352,10.59012,1.552673,4.884889
1603806796764,10.5241,1.278875,5.288011,10.34478,1.511013,4.97358,10.5902,1.5527,4.884782
1603806796774,10.52399,1.278955,5.287981,10.34477,1.510942,4.973501,10.59009,1.552698,4.884664
1603806796785,10.52394,1.278981,5.287914,10.3448,1.510887,4.973462,10.59,1.552695,4.884587
1603806796797,10.52372,1.278968,5.28803,10.34465,1.510862,4.973483,10.58983,1.552668,4.884644
1603806796808,10.52365,1.278919,5.287983,10.34451,1.510845,4.973488,10.58972,1.552671,4.884569
1603806796819,10.52325,1.278648,5.288315,10.34454,1.510809,4.973367,10.58969,1.552703,4.884432
1603806796830,10.52315,1.27862,5.288286,10.34441,1.51081,4.973338,10.58958,1.552709,4.884355
1603806796842,10.5228,1.278373,5.288355,10.34432,1.510771,4.973282,10.58942,1.552634,4.884349
1603806796852,10.52267,1.278363,5.288342,10.3442,1.510756,4.973235,10.58929,1.552639,4.884296
1603806796864,10.52248,1.278327,5.288342,10.34399,1.510801,4.973245,10.589,1.552703,4.884271
1603806796874,10.5222,1.278199,5.288431,10.3439,1.510807,4.973215,10.58885,1.552711,4.884229
1603806796886,10.52201,1.278111,5.288461,10.34376,1.51078,4.973193,10.58874,1.552769,4.884154
1603806796898,10.5216,1.277892,5.288681,10.3436,1.51075,4.973167,10.5885,1.55272,4.884274
1603806796908,10.52145,1.277834,5.28866,10.34345,1.510719,4.973127,10.58836,1.552733,4.884243
1603806796919,10.52122,1.277776,5.288774,10.3433,1.510717,4.973103,10.58823,1.552626,4.884217
1603806796930,10.52108,1.277742,5.288769,10.34317,1.510712,4.973093,10.58811,1.552635,4.884161
1603806796941,10.52096,1.277765,5.288864,10.34304,1.510704,4.973083,10.5879,1.552606,4.884073
1603806796953,10.52083,1.27775,5.288865,10.34287,1.510683,4.973113,10.58778,1.55261,4.884019
1603806796964,10.52059,1.27772,5.289048,10.34273,1.510664,4.973087,10.58761,1.552552,4.883996
1603806796975,10.52053,1.277722,5.289064,10.3426,1.510641,4.973053,10.58749,1.552545,4.883934
1603806796986,10.52044,1.277709,5.289183,10.34243,1.510648,4.973009,10.58733,1.552505,4.883923
1603806796997,10.52031,1.277692,5.289094,10.34239,1.510522,4.972968,10.58723,1.552413,4.883912
1603806797008,10.52018,1.277694,5.289122,10.34228,1.510466,4.972952,10.58712,1.552385,4.883871
1603806797019,10.51974,1.27751,5.289336,10.34224,1.510523,4.973006,10.58697,1.552377,4.883848
1603806797030,10.51955,1.277451,5.289339,10.34215,1.510503,4.973,10.58688,1.552353,4.883806
1603806797041,10.51947,1.277377,5.289403,10.34207,1.510496,4.972965,10.58685,1.552386,4.883711
1603806797052,10.51933,1.277257,5.289374,10.34204,1.510537,4.972943,10.58678,1.552383,4.883671
1603806797064,10.51931,1.277207,5.289361,10.34197,1.510576,4.972936,10.5867,1.552391,4.883638
1603806797074,10.51892,1.276964,5.289573,10.34189,1.51059,4.97292,10.58666,1.552408,4.883557
1603806797085,10.51881,1.276949,5.289554,10.34177,1.510621,4.972899,10.5867,1.552461,4.883534
1603806797097,10.51861,1.276922,5.289659,10.3417,1.510613,4.972903,10.58669,1.55242,4.883471
1603806797108,10.51852,1.27696,5.289683,10.34162,1.51061,4.972866,10.58662,1.552435,4.883421
1603806797119,10.51866,1.277065,5.289461,10.34153,1.510578,4.972836,10.58656,1.552385,4.883348
1603806797131,10.51861,1.277088,5.289479,10.34144,1.510551,4.972806,10.5865,1.552405,4.883314
1603806797141,10.51856,1.277064,5.289428,10.34129,1.510511,4.972755,10.58651,1.552383,4.883196
1603806797152,10.51845,1.277042,5.289435,10.34121,1.510477,4.972753,10.58646,1.55238,4.883164
1603806797164,10.51861,1.277085,5.289189,10.34149,1.510318,4.972499,10.58646,1.552385,4.883173
1603806797174,10.51852,1.277042,5.289179,10.34144,1.510259,4.972464,10.58642,1.552389,4.883136
1603806797185,10.51852,1.277082,5.289186,10.34141,1.510224,4.972435,10.58636,1.552341,4.883131
1603806797197,10.51864,1.27718,5.289044,10.34142,1.510237,4.972399,10.58633,1.552369,4.883143
1603806797209,10.51858,1.27717,5.28906,10.34137,1.510212,4.972383,10.58631,1.552375,4.883108
1603806797218,10.51892,1.277359,5.288763,10.34139,1.510196,4.972401,10.58624,1.552338,4.883134
1603806797230,10.5189,1.277401,5.288771,10.34137,1.510173,4.972377,10.58618,1.5523,4.883224
1603806797241,10.51885,1.277393,5.288811,10.34142,1.510204,4.972379,10.58609,1.552333,4.883243
1603806797252,10.5188,1.277422,5.28882,10.34141,1.5102,4.972352,10.58608,1.552368,4.88321
1603806797263,10.51908,1.277631,5.288534,10.34137,1.510205,4.972217,10.58613,1.552276,4.883145
1603806797274,10.51906,1.277648,5.288517,10.34133,1.51018,4.9722,10.58612,1.552303,4.883113
1603806797286,10.5193,1.277737,5.288325,10.34132,1.510172,4.972185,10.58606,1.552329,4.883145
1603806797297,10.51953,1.277869,5.288143,10.34124,1.510223,4.972233,10.58607,1.552288,4.883104
1603806797307,10.51955,1.277885,5.288125,10.34125,1.510153,4.972212,10.58607,1.552287,4.883085
1603806797318,10.51962,1.277933,5.288174,10.3413,1.510119,4.972149,10.58611,1.55227,4.88304
1603806797330,10.51964,1.277961,5.288178,10.3413,1.510085,4.972122,10.58612,1.552266,4.883034
1603806797341,10.51973,1.278021,5.288086,10.34123,1.510031,4.972098,10.58608,1.55228,4.883103
1603806797351,10.51974,1.278047,5.288086,10.34123,1.509987,4.972071,10.58601,1.5522,4.88321
1603806797363,10.52004,1.278213,5.287832,10.3412,1.509884,4.972082,10.58599,1.552207,4.883216
1603806797374,10.5201,1.27824,5.287811,10.34118,1.509861,4.972168,10.58596,1.552155,4.883235
1603806797385,10.52045,1.278312,5.287553,10.34117,1.50981,4.972164,10.58597,1.552037,4.883248
1603806797396,10.52064,1.278394,5.287465,10.34123,1.509815,4.972134,10.58608,1.551964,4.88318
1603806797407,10.52074,1.278409,5.287427,10.34116,1.509785,4.972144,10.58604,1.551857,4.883184
1603806797418,10.52073,1.278421,5.287496,10.34112,1.509752,4.972158,10.58605,1.551735,4.883162
1603806797430,10.5208,1.278455,5.287475,10.34106,1.509717,4.972167,10.58599,1.551615,4.883155
1603806797440,10.52094,1.27852,5.287306,10.34106,1.509554,4.972119,10.58594,1.551458,4.883112
1603806797452,10.52107,1.278562,5.287263,10.34099,1.509522,4.972135,10.58589,1.55131,4.883082
1603806797463,10.5214,1.278697,5.287024,10.34091,1.509488,4.972157,10.5858,1.551129,4.882972
1603806797474,10.52159,1.278763,5.286979,10.34088,1.509442,4.972174,10.58572,1.551025,4.882876
1603806797485,10.52149,1.278688,5.287224,10.34079,1.509408,4.972192,10.58569,1.550905,4.882785
1603806797496,10.52177,1.278875,5.287046,10.34069,1.509393,4.972174,10.58554,1.55079,4.882745
1603806797507,10.52187,1.278923,5.287048,10.34062,1.509377,4.972177,10.58545,1.550695,4.882647
1603806797519,10.52203,1.279058,5.287132,10.34057,1.509406,4.972197,10.58549,1.550734,4.882456
1603806797530,10.52228,1.279095,5.287058,10.3405,1.509391,4.972206,10.58538,1.550683,4.882371
1603806797541,10.52234,1.27898,5.287061,10.34039,1.509383,4.972296,10.58532,1.550646,4.882215
1603806797552,10.5225,1.279076,5.287013,10.3403,1.509337,4.972318,10.58517,1.550546,4.882236
1603806797563,10.52289,1.279307,5.286808,10.34043,1.509233,4.97226,10.58497,1.550509,4.882157
1603806797574,10.52303,1.279406,5.286774,10.34035,1.509171,4.972255,10.58501,1.550417,4.882015
1603806797585,10.52304,1.279485,5.286812,10.34028,1.509064,4.972256,10.58491,1.550385,4.881909
1603806797597,10.52343,1.279689,5.286551,10.34028,1.508988,4.972229,10.58472,1.550275,4.88181
1603806797607,10.52344,1.279662,5.286542,10.34022,1.508858,4.972221,10.58461,1.550213,4.881728
1603806797618,10.52361,1.279753,5.286289,10.34017,1.508774,4.972207,10.58456,1.550187,4.881629
1603806797630,10.52341,1.279646,5.286313,10.34023,1.508724,4.972201,10.58447,1.550099,4.881576
1603806797641,10.52356,1.2796,5.286091,10.34018,1.508627,4.972239,10.58438,1.55002,4.88172
1603806797651,10.52357,1.279505,5.286036,10.34003,1.508463,4.972266,10.58414,1.549951,4.881822
1603806797663,10.52388,1.279561,5.28573,10.33998,1.508377,4.972276,10.58407,1.54989,4.881793
1603806797674,10.52396,1.279521,5.285644,10.33991,1.50828,4.972285,10.58388,1.549883,4.881789
1603806797685,10.52409,1.279624,5.285496,10.33985,1.50819,4.972246,10.58383,1.549804,4.881775
1603806797697,10.52411,1.279769,5.285507,10.33968,1.508213,4.972341,10.58389,1.549642,4.881566
1603806797708,10.52416,1.279913,5.285491,10.33961,1.508155,4.97232,10.58384,1.549553,4.881564
1603806797718,10.52419,1.279982,5.285463,10.33959,1.508152,4.972214,10.58386,1.549532,4.881489
